MAC;SLOC Name;Time received;Time recorded;Event;Value
04C3E680FACF;Stapler 349-1;12.05.2024 05:00:18;12.05.2024 05:00:09;Battery Used Charge;"1653.995 mAh"
04C3E680FACF;Stapler 349-1;12.05.2024 05:00:18;12.05.2024 05:00:09;Battery Voltage;"3.662"
04C3E680FACF;Stapler 349-1;11.05.2024 22:59:47;11.05.2024 22:59:37;Battery Level;"76.37"
04C3E680FACF;Stapler 349-1;11.05.2024 22:59:47;11.05.2024 22:59:37;Battery Used Charge;"1653.119 mAh"
04C3E680FACF;Stapler 349-1;11.05.2024 22:59:47;11.05.2024 22:59:37;Battery Voltage;"3.666"
04C3E680FACF;Stapler 349-1;11.05.2024 17:00:13;11.05.2024 17:00:04;Battery Level;"76.39"
04C3E680FACF;Stapler 349-1;11.05.2024 17:00:13;11.05.2024 17:00:04;Battery Used Charge;"1652.287 mAh"
04C3E680FACF;Stapler 349-1;11.05.2024 17:00:13;11.05.2024 17:00:04;Battery Voltage;"3.666"
04C3E680FACF;Stapler 349-1;11.05.2024 05:00:18;11.05.2024 05:00:09;Battery Level;"76.41"
04C3E680FACF;Stapler 349-1;11.05.2024 05:00:18;11.05.2024 05:00:09;Battery Used Charge;"1651.06 mAh"
04C3E680FACF;Stapler 349-1;11.05.2024 05:00:18;11.05.2024 05:00:09;Battery Voltage;"3.666"
04C3E680FACF;Stapler 349-1;10.05.2024 22:59:47;10.05.2024 22:59:37;Battery Level;"76.43"
04C3E680FACF;Stapler 349-1;10.05.2024 22:59:47;10.05.2024 22:59:37;Battery Used Charge;"1650.239 mAh"
04C3E680FACF;Stapler 349-1;10.05.2024 22:59:47;10.05.2024 22:59:37;Battery Voltage;"3.666"
04C3E680FACF;Stapler 349-1;10.05.2024 17:00:14;10.05.2024 17:00:04;Battery Level;"76.44"
04C3E680FACF;Stapler 349-1;10.05.2024 17:00:14;10.05.2024 17:00:04;Battery Used Charge;"1649.328 mAh"
04C3E680FACF;Stapler 349-1;10.05.2024 17:00:14;10.05.2024 17:00:04;Battery Voltage;"3.668"
04C3E680FACF;Stapler 349-1;10.05.2024 05:00:18;10.05.2024 05:00:09;Battery Level;"76.46"
04C3E680FACF;Stapler 349-1;10.05.2024 05:00:18;10.05.2024 05:00:09;Battery Used Charge;"1648.135 mAh"
04C3E680FACF;Stapler 349-1;10.05.2024 05:00:18;10.05.2024 05:00:09;Battery Voltage;"3.664"
04C3E680FACF;Stapler 349-1;09.05.2024 22:59:56;09.05.2024 22:59:37;Battery Level;"76.47"
04C3E680FACF;Stapler 349-1;09.05.2024 22:59:56;09.05.2024 22:59:37;Battery Used Charge;"1646.898 mAh"
04C3E680FACF;Stapler 349-1;09.05.2024 22:59:56;09.05.2024 22:59:37;Battery Voltage;"3.664"
04C3E680FACF;Stapler 349-1;09.05.2024 17:00:14;09.05.2024 17:00:04;Battery Level;"76.49"
04C3E680FACF;Stapler 349-1;09.05.2024 17:00:14;09.05.2024 17:00:04;Battery Used Charge;"1646.029 mAh"
04C3E680FACF;Stapler 349-1;09.05.2024 17:00:14;09.05.2024 17:00:04;Battery Voltage;"3.666"
04C3E680FACF;Stapler 349-1;09.05.2024 05:00:18;09.05.2024 05:00:09;Battery Level;"76.5"
04C3E680FACF;Stapler 349-1;09.05.2024 05:00:18;09.05.2024 05:00:09;Battery Used Charge;"1644.843 mAh"
04C3E680FACF;Stapler 349-1;09.05.2024 05:00:18;09.05.2024 05:00:09;Battery Voltage;"3.664"
04C3E680FACF;Stapler 349-1;08.05.2024 22:59:46;08.05.2024 22:59:37;Battery Level;"76.51"
04C3E680FACF;Stapler 349-1;08.05.2024 22:59:46;08.05.2024 22:59:37;Battery Used Charge;"1643.982 mAh"
04C3E680FACF;Stapler 349-1;08.05.2024 22:59:46;08.05.2024 22:59:37;Battery Voltage;"3.658"
04C3E680FACF;Stapler 349-1;08.05.2024 17:00:21;08.05.2024 17:00:04;Battery Level;"76.54"
04C3E680FACF;Stapler 349-1;08.05.2024 17:00:21;08.05.2024 17:00:04;Battery Used Charge;"1641.871 mAh"
04C3E680FACF;Stapler 349-1;08.05.2024 17:00:21;08.05.2024 17:00:04;Battery Voltage;"3.648"
04C3E680FACF;Stapler 349-1;08.05.2024 05:00:19;08.05.2024 05:00:09;Battery Level;"77"
04C3E680FACF;Stapler 349-1;08.05.2024 05:00:19;08.05.2024 05:00:09;Battery Used Charge;"1610.148 mAh"
04C3E680FACF;Stapler 349-1;08.05.2024 05:00:19;08.05.2024 05:00:09;Battery Voltage;"3.662"
04C3E680FACF;Stapler 349-1;07.05.2024 22:59:47;07.05.2024 22:59:37;Battery Level;"77.01"
04C3E680FACF;Stapler 349-1;07.05.2024 22:59:47;07.05.2024 22:59:37;Battery Used Charge;"1609.258 mAh"
04C3E680FACF;Stapler 349-1;07.05.2024 22:59:47;07.05.2024 22:59:37;Battery Voltage;"3.660"
